AGGREGATE,A0.001,4374.75
AGGREGATE,A0.003,11943.3
AGGREGATE,A0.01,13153.9
AGGREGATE,A0.03,10011.3
AGGREGATE,A0.1,13488.2
AGGREGATE,A0.3,16957.8
AGGREGATE,B0.001,374114
AGGREGATE,B0.003,508396
AGGREGATE,B0.01,597003
AGGREGATE,B0.03,649819
AGGREGATE,B0.1,674620
AGGREGATE,B0.3,621531
AGGREGATE,C0.001,50401.1
AGGREGATE,C0.003,81080.2
AGGREGATE,C0.01,105795
AGGREGATE,C0.03,163195
AGGREGATE,C0.1,185347
AGGREGATE,C0.3,178034
AGGREGATE,D0.001,7.70588e+006
AGGREGATE,D0.003,1.02939e+007
AGGREGATE,D0.01,1.1369e+007
AGGREGATE,D0.03,1.18907e+007
AGGREGATE,D0.1,1.2347e+007
AGGREGATE,D0.3,1.20011e+007
AGGREGATE,J0.001,255537
AGGREGATE,J0.003,298080
AGGREGATE,J0.01,399304
AGGREGATE,J0.03,432232
AGGREGATE,J0.1,426146
AGGREGATE,J0.3,382522
AGGREGATE,K0.001,261464
AGGREGATE,K0.003,531274
AGGREGATE,K0.01,942465
AGGREGATE,K0.03,1.0947e+006
AGGREGATE,K0.1,1.2049e+006
AGGREGATE,K0.3,1.16399e+006
AGGREGATE,M0.001,24864.5
AGGREGATE,M0.003,114097
AGGREGATE,M0.01,141630
AGGREGATE,M0.03,125233
AGGREGATE,M0.1,130406
AGGREGATE,M0.3,129598
AGGREGATE,N0.001,39965.8
AGGREGATE,N0.003,-210190
AGGREGATE,N0.01,-107575
AGGREGATE,N0.03,31958.2
AGGREGATE,N0.1,381226
AGGREGATE,N0.3,755546
AGGREGATE,P0.001,-415955
AGGREGATE,P0.003,-143197
AGGREGATE,P0.01,-135276
AGGREGATE,P0.03,126689
AGGREGATE,P0.1,540586
AGGREGATE,P0.3,760955
AGGREGATE,Q0.001,-2.69801e+006
AGGREGATE,Q0.003,-2.23951e+006
AGGREGATE,Q0.01,-1.47025e+006
AGGREGATE,Q0.03,-792821
AGGREGATE,Q0.1,179205
AGGREGATE,Q0.3,796792
AGGREGATE,W0.001,62826.8
AGGREGATE,W0.003,106362
AGGREGATE,W0.01,137303
AGGREGATE,W0.03,152730
AGGREGATE,W0.1,160345
AGGREGATE,W0.3,156852
AGGREGATE,X0.001,-45971.9
AGGREGATE,X0.003,-29455.7
AGGREGATE,X0.01,17639.2
AGGREGATE,X0.03,48275.5
AGGREGATE,X0.1,54990.5
AGGREGATE,X0.3,58759.7
AGGREGATE,Y0.001,70467.4
AGGREGATE,Y0.003,154238
AGGREGATE,Y0.01,226469
AGGREGATE,Y0.03,265047
AGGREGATE,Y0.1,288568
AGGREGATE,Y0.3,264434
AGGREGATE,Z0.001,-212147
AGGREGATE,Z0.003,-422748
AGGREGATE,Z0.01,-380282
AGGREGATE,Z0.03,-114887
AGGREGATE,Z0.1,234196
AGGREGATE,Z0.3,368950
